sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00004405871,RNA020122,RNA020122_S128_R2_001.fastq.gz,EGAF00008256773
EGAN00004405872,RNA020177,RNA020177_S180_R1_001.fastq.gz,EGAF00008256868
EGAN00004405872,RNA020177,RNA020177_S180_R2_001.fastq.gz,EGAF00008256869
EGAN00004405873,RNA020142,RNA020142_S147_R1_001.fastq.gz,EGAF00008256804
EGAN00004405873,RNA020142,RNA020142_S147_R2_001.fastq.gz,EGAF00008256805
EGAN00004405874,RNA020175,RNA020175_S178_R1_001.fastq.gz,EGAF00008256864
EGAN00004405874,RNA020175,RNA020175_S178_R2_001.fastq.gz,EGAF00008256865
EGAN00004405875,RNA020171,RNA020171_S175_R1_001.fastq.gz,EGAF00008256858
EGAN00004405875,RNA020171,RNA020171_S175_R2_001.fastq.gz,EGAF00008256859
EGAN00004405876,RNA020180,RNA020180_S183_R1_001.fastq.gz,EGAF00008256874
EGAN00004405876,RNA020180,RNA020180_S183_R2_001.fastq.gz,EGAF00008256875
EGAN00004405877,RNA020181,RNA020181_S184_R1_001.fastq.gz,EGAF00008256876
EGAN00004405877,RNA020181,RNA020181_S184_R2_001.fastq.gz,EGAF00008256877
EGAN00004405878,RNA020178,RNA020178_S181_R1_001.fastq.gz,EGAF00008256870
EGAN00004405878,RNA020178,RNA020178_S181_R2_001.fastq.gz,EGAF00008256871
EGAN00004405879,RNA020160,RNA020160_S165_R1_001.fastq.gz,EGAF00008256838
EGAN00004405879,RNA020160,RNA020160_S165_R2_001.fastq.gz,EGAF00008256839
EGAN00004405880,RNA020060,RNA020060_S83_R1_001.fastq.gz,EGAF00008256692
EGAN00004405880,RNA020060,RNA020060_S83_R2_001.fastq.gz,EGAF00008256693
EGAN00004405881,RNA020061,RNA020061_S84_R1_001.fastq.gz,EGAF00008256694
EGAN00004405881,RNA020061,RNA020061_S84_R2_001.fastq.gz,EGAF00008256695
EGAN00004405882,RNA020062,RNA020062_S85_R1_001.fastq.gz,EGAF00008256696
EGAN00004405882,RNA020062,RNA020062_S85_R2_001.fastq.gz,EGAF00008256697
EGAN00004405883,RNA020063,RNA020063_S86_R1_001.fastq.gz,EGAF00008256698
EGAN00004405883,RNA020063,RNA020063_S86_R2_001.fastq.gz,EGAF00008256699
EGAN00004405884,RNA020070,RNA020070_S90_R1_001.fastq.gz,EGAF00008256706
EGAN00004405884,RNA020070,RNA020070_S90_R2_001.fastq.gz,EGAF00008256707
EGAN00004405885,RNA020072,RNA020072_S92_R1_001.fastq.gz,EGAF00008256710
EGAN00004405885,RNA020072,RNA020072_S92_R2_001.fastq.gz,EGAF00008256711
EGAN00004405886,RNA020075,RNA020075_S95_R1_001.fastq.gz,EGAF00008256714
EGAN00004405886,RNA020075,RNA020075_S95_R2_001.fastq.gz,EGAF00008256715
EGAN00004405887,RNA020086,RNA020086_S103_R1_001.fastq.gz,EGAF00008256730
EGAN00004405887,RNA020086,RNA020086_S103_R2_001.fastq.gz,EGAF00008256731
EGAN00004405888,RNA020079,RNA020079_S98_R1_001.fastq.gz,EGAF00008256720
EGAN00004405888,RNA020079,RNA020079_S98_R2_001.fastq.gz,EGAF00008256721
EGAN00004405889,RNA020108,RNA020108_S114_R1_001.fastq.gz,EGAF00008256750
EGAN00004405889,RNA020108,RNA020108_S114_R2_001.fastq.gz,EGAF00008256751
EGAN00004405890,RNA020102,RNA020102_S111_R1_001.fastq.gz,EGAF00008256744
EGAN00004405890,RNA020102,RNA020102_S111_R2_001.fastq.gz,EGAF00008256745
EGAN00004405891,RNA020107,RNA020107_S113_R1_001.fastq.gz,EGAF00008256748
EGAN00004405891,RNA020107,RNA020107_S113_R2_001.fastq.gz,EGAF00008256749
EGAN00004405892,RNA020090,RNA020090_S106_R1_001.fastq.gz,EGAF00008256736
EGAN00004405892,RNA020090,RNA020090_S106_R2_001.fastq.gz,EGAF00008256737
EGAN00004405893,RNA020104,RNA020104_S112_R1_001.fastq.gz,EGAF00008256746
EGAN00004405893,RNA020104,RNA020104_S112_R2_001.fastq.gz,EGAF00008256747
EGAN00004405894,RNA020071,RNA020071_S91_R1_001.fastq.gz,EGAF00008256708
EGAN00004405894,RNA020071,RNA020071_S91_R2_001.fastq.gz,EGAF00008256709
EGAN00004405895,RNA019983,RNA019983_S16_R1_001.fastq.gz,EGAF00008256578
EGAN00004405895,RNA019983,RNA019983_S16_R2_001.fastq.gz,EGAF00008256579
EGAN00004405896,RNA019971,RNA019971_S4_R1_001.fastq.gz,EGAF00008256554
EGAN00004405896,RNA019971,RNA019971_S4_R2_001.fastq.gz,EGAF00008256555
EGAN00004405897,RNA020012,RNA020012_S41_R1_001.fastq.gz,EGAF00008256628
EGAN00004405897,RNA020012,RNA020012_S41_R2_001.fastq.gz,EGAF00008256629
EGAN00004405898,RNA019984,RNA019984_S17_R1_001.fastq.gz,EGAF00008256580
EGAN00004405898,RNA019984,RNA019984_S17_R2_001.fastq.gz,EGAF00008256581
EGAN00004405899,RNA019975,RNA019975_S8_R1_001.fastq.gz,EGAF00008256562
EGAN00004405899,RNA019975,RNA019975_S8_R2_001.fastq.gz,EGAF00008256563
EGAN00004405900,RNA020018,RNA020018_S47_R1_001.fastq.gz,EGAF00008256640
