	human	fungi	other_eukaryotes	bacteria	other	unclassified	dataset_short_name	sample_name	dataset_batch
575	87.13700438303187	1.0926818923213664	0.753013178105748	4.905664529753149	1.717600301305306	4.394035715482561	decruyenaere	RNA019979_S12	decruyenaere
1085	66.72366715117079	0.9462080427683636	4.503288277950363	8.79212473306023	11.365496606721155	7.669215188329101	moufarrej	SRR17333017	moufarrej_site_1
2102	93.83596235332708	0.0426030248147618	0.5728406716876898	0.9509675186938272	3.745465928080894	0.8521605033957411	toden	SRRISOLATE_2536	toden
312	94.73483033001446	0.0211992600319669	0.2683793789213209	0.4652451415199706	3.824812785051431	0.6855331044608448	chalasani	X14871	chalasani
437	92.41848976747237	0.0605935216781965	0.2291573789641862	1.1087292796335109	4.533229090787091	1.6498009614646554	chen	SRR14506761	chen
625	87.1752890362026	0.6949671019566797	1.083432558386088	3.441579906214197	3.8116422617211	3.793089135519335	decruyenaere	RNA020035_S62	decruyenaere
1123	66.73890119186967	0.5053583384125838	4.248870106356755	13.419221417153382	8.057632950943692	7.030015995263922	moufarrej	SRR17333055	moufarrej_site_1
1985	93.84513451345134	0.0326532653265326	0.6814681468146815	1.029052905290529	3.3244324432443246	1.0872587258725872	toden	SRRISOLATE_11334	toden
88	94.73728392937154	0.0487414833570657	0.32193513657584	0.3696272876754877	3.666052107741239	0.8563600552788233	chalasani	X10659	chalasani
516	92.43449659175656	0.0434057964760585	0.064626408086576	1.0073190803250915	0.9418804000237588	5.508271723331961	chen	SRR14506840	chen
649	87.26886533596598	0.2200103351830943	1.4578311022978023	2.803205807712568	3.808509967748826	4.441577451091723	decruyenaere	RNA020078_S97	decruyenaere
1354	66.87790221797329	0.8178585875151689	2.142872500161252	8.34168758771967	7.085274395381151	14.734404711249468	moufarrej	SRR17333307	moufarrej_site_1
1949	93.84744098032075	0.0449573730091735	0.7949803767817922	0.6230521805576115	3.492672798338928	1.196896290991723	toden	SRRISOLATE_11186	toden
333	94.76687403731376	0.0230531805020842	0.276152267606934	0.4374705424084041	3.8006974261960793	0.695752545972739	chalasani	X14921	chalasani
512	92.44694026177736	0.0551705234347177	0.3712381005734133	0.5577574857847118	1.5839892439987675	4.984904384431008	chen	SRR14506836	chen
